id,category,post
690,social_anxiety,Real talk: Crowds turn my brain into static; need quiet time to reset. Journaling and short walks help a bit.
872,brain_fog,Reminder to future me: Memory lag is real—what was I doing again?
1391,burnout,"Not gonna lie— Burnout check: deadlines, brain fog, and zero spark."
204,appetite_sleep_change,Appetite keeps swinging from 'meh' to 'everything' lately. Trying to be patient with myself.
308,burnout,Real talk: Everything feels like a chore—even things I usually enjoy.
771,loneliness,Scrolling for company isn't cutting it today. Trying to be patient with myself.
336,anhedonia,Things I used to love feel dim lately. Taking it one breath at a time.
839,insomnia,Counted a thousand imaginary sheep and still wide awake. Trying to be patient with myself.
1493,loneliness,Craving connection but not sure how to ask for it. Reminding myself that feelings pass.
1241,social_anxiety,Note to self: Cancelling plans because my nerves won't cooperate. Setting tiny goals and tiny wins.
1323,guilt_shame,"Reminder to future me: That nagging 'not good enough' voice showed up again. Hydration and a stretch break, here we go."
1163,burnout,Everything feels like a chore—even things I usually enjoy.
555,burnout,Reminder to future me: Running on fumes and to-do list keeps growing.
757,panic_like,If anyone else needs to hear this: Sudden wave of jitters out of nowhere—breathing through it. Reminding myself that feelings pass.
718,irritability,Not gonna lie— Snapped over something tiny—wish I could rewind. Stepping outside for a minute of fresh air.
1149,ptsd_like,Grounding exercises helping a bit when I get startled. Stepping outside for a minute of fresh air.
1225,ptsd_like,"Status check: Grounding exercises helping a bit when I get startled. Hydration and a stretch break, here we go."
786,adhd_like,Sticky notes are my second brain and they’re full.
1243,ocd_like_worry,Wish my mind had a 'good enough' button. Journaling and short walks help a bit.
1131,fatigue,Energy meter keeps dipping into red for no reason. Journaling and short walks help a bit.
1443,somatic,Real talk: Headache visiting again—wish it would leave a forwarding address. Texting a friend to check in.
548,panic_like,Sudden wave of jitters out of nowhere—breathing through it. Texting a friend to check in.
1109,adhd_like,Started five tasks and finished none—attention is on vacation. Texting a friend to check in.
327,burnout,Running on fumes and to-do list keeps growing. Reminding myself that feelings pass.
519,social_anxiety,Crowds turn my brain into static; need quiet time to reset. Stepping outside for a minute of fresh air.
1425,self_esteem,Learning to talk to myself like I would a friend. Texting a friend to check in.
90,appetite_sleep_change,If anyone else needs to hear this: Body clock and hunger cues feel out of sync. Trying to be patient with myself.
481,social_anxiety,Today in mental health: Small talk feels like a boss-level challenge sometimes.
890,panic_like,Mind went blank and body hit the gas—classic surge of nerves. Texting a friend to check in.
1133,guilt_shame,Wishing I could be kinder to myself when I slip up. Journaling and short walks help a bit.
1317,social_anxiety,"Real talk: Crowds turn my brain into static; need quiet time to reset. Hydration and a stretch break, here we go."
70,anhedonia,Checking off hobbies like tasks instead of enjoying them.
1412,social_anxiety,Cancelling plans because my nerves won't cooperate.
1305,anhedonia,"Joy feels muted—like the volume's turned down. Hydration and a stretch break, here we go."
1681,ptsd_like,Random sounds put me on edge more than I'd like to admit. Stepping outside for a minute of fresh air.
358,panic_like,Not gonna lie— Mind went blank and body hit the gas—classic surge of nerves. Texting a friend to check in.
1126,stress,Tension living in my shoulders rent-free.
629,anxiety,Real talk: My mind's racing with what-ifs and it's exhausting.
1136,irritability,Apologizing in advance for my short fuse—working on it. Reminding myself that feelings pass.
304,self_esteem,Compliments bounce off; criticism sticks—working on flipping that.
53,irritability,Today in mental health: Snapped over something tiny—wish I could rewind.
1744,irritability,Update: Snapped over something tiny—wish I could rewind. Texting a friend to check in.
313,ptsd_like,Real talk: Some days my body reacts before my brain understands why.
135,anxiety,"Status check: Overthinking every little thing again. Brain, please chill."
267,low_mood,Update: Feeling down today and can't shake the gray cloud.
897,burnout,Reminder to future me: Running on fumes and to-do list keeps growing.
1960,insomnia,Alarm goes off right when I finally drift off. Brutal. Journaling and short walks help a bit.
1022,irritability,Note to self: Everything feels a bit like nails on a chalkboard.
1128,adhd_like,"Sticky notes are my second brain and they’re full. Hydration and a stretch break, here we go."
655,ptsd_like,Grounding exercises helping a bit when I get startled.
1445,low_mood,Update: It's one of those low-energy days where even coffee can't lift me. Reminding myself that feelings pass.
300,irritability,Snapped over something tiny—wish I could rewind. Trying to be patient with myself.
371,fatigue,Dragging myself through the afternoon slump again.
42,burnout,Note to self: Running on fumes and to-do list keeps growing. Setting tiny goals and tiny wins.
1447,insomnia,Third night in a row staring at the ceiling at 3AM.
755,appetite_sleep_change,Status check: Body clock and hunger cues feel out of sync.
1826,anxiety,Heart fluttering for no clear reason—wish I could hit pause. Journaling and short walks help a bit.
170,somatic,Headache visiting again—wish it would leave a forwarding address.
1355,social_anxiety,Reminder to future me: Crowds turn my brain into static; need quiet time to reset.
1548,ptsd_like,Not gonna lie— Grounding exercises helping a bit when I get startled. Journaling and short walks help a bit.
1036,fatigue,Dragging myself through the afternoon slump again. Journaling and short walks help a bit.
857,anxiety,"My mind's racing with what-ifs and it's exhausting. Hydration and a stretch break, here we go."
1070,social_anxiety,Today in mental health: Small talk feels like a boss-level challenge sometimes. Stepping outside for a minute of fresh air.
1078,appetite_sleep_change,Trying to notice patterns without judging myself. Journaling and short walks help a bit.
1497,irritability,Update: Patience meter is shorter than usual today. Journaling and short walks help a bit.
592,insomnia,Counted a thousand imaginary sheep and still wide awake. Texting a friend to check in.
1637,insomnia,Today in mental health: Alarm goes off right when I finally drift off. Brutal. Journaling and short walks help a bit.
192,anxiety,"Status check: Overthinking every little thing again. Brain, please chill. Texting a friend to check in."
376,irritability,Everything feels a bit like nails on a chalkboard. Reminding myself that feelings pass.
1415,ptsd_like,Today in mental health: Some days my body reacts before my brain understands why. Stepping outside for a minute of fresh air.
1675,insomnia,Counted a thousand imaginary sheep and still wide awake.
1330,self_esteem,"Note to self: Compliments bounce off; criticism sticks—working on flipping that. Hydration and a stretch break, here we go."
1083,self_esteem,Learning to talk to myself like I would a friend.
1231,irritability,Today in mental health: Apologizing in advance for my short fuse—working on it. Journaling and short walks help a bit.
980,loneliness,Miss the kind of conversation that leaves you lighter.
1348,somatic,Status check: Back tension says hello every time I sit down.
1567,ptsd_like,Today in mental health: Some days my body reacts before my brain understands why.
784,stress,Today in mental health: So many tabs open in my head and none are loading. Reminding myself that feelings pass.
908,irritability,Patience meter is shorter than usual today. Setting tiny goals and tiny wins.
1000,guilt_shame,Trying to remember progress > perfection. Texting a friend to check in.
912,self_esteem,Compliments bounce off; criticism sticks—working on flipping that. Journaling and short walks help a bit.
1899,somatic,Headache visiting again—wish it would leave a forwarding address.
1071,adhd_like,"Hyperfocus yesterday, scattered confetti brain today. Reminding myself that feelings pass."
1918,somatic,If anyone else needs to hear this: Neck and shoulders hosting a permanent knot convention.
2000,stress,"Reminder to future me: Tension living in my shoulders rent-free. Hydration and a stretch break, here we go."
920,ocd_like_worry,Double-checking things on autopilot again—brain seeking certainty. Texting a friend to check in.
887,anhedonia,Hard to find the spark for stuff that once lit me up. Trying to be patient with myself.
725,insomnia,Not gonna lie— Third night in a row staring at the ceiling at 3AM. Taking it one breath at a time.
58,low_mood,Feeling down today and can't shake the gray cloud. Journaling and short walks help a bit.
777,brain_fog,Reading the same sentence five times and still nothing. Trying to be patient with myself.
1755,adhd_like,Not gonna lie— Started five tasks and finished none—attention is on vacation. Trying to be patient with myself.
821,burnout,Work brain is fried; focus meter stuck at 10%. Texting a friend to check in.
1031,stress,Deadline season again and my jaw hasn't unclenched all day. Reminding myself that feelings pass.
530,brain_fog,Reading the same sentence five times and still nothing. Stepping outside for a minute of fresh air.
185,appetite_sleep_change,Trying to notice patterns without judging myself. Journaling and short walks help a bit.
165,anhedonia,Note to self: Joy feels muted—like the volume's turned down.
1354,stress,So many tabs open in my head and none are loading. Setting tiny goals and tiny wins.
92,panic_like,"Counting breaths and waiting for the spike to pass. Hydration and a stretch break, here we go."
1264,fatigue,Today in mental health: Dragging myself through the afternoon slump again. Trying to be patient with myself.
1139,somatic,Stomach in knots when stress shows up. Taking it one breath at a time.
875,low_mood,Update: It's one of those low-energy days where even coffee can't lift me. Texting a friend to check in.
276,fatigue,Today in mental health: Tired behind the eyes even after resting. Reminding myself that feelings pass.
1770,insomnia,Status check: Counted a thousand imaginary sheep and still wide awake.
900,adhd_like,"Timer on, distractions off… still drifting. Texting a friend to check in."
333,fatigue,Tired behind the eyes even after resting. Journaling and short walks help a bit.
633,social_anxiety,Crowds turn my brain into static; need quiet time to reset. Trying to be patient with myself.
1595,somatic,Real talk: Stomach in knots when stress shows up. Stepping outside for a minute of fresh air.
1662,ptsd_like,Update: Random sounds put me on edge more than I'd like to admit. Journaling and short walks help a bit.
215,social_anxiety,Status check: Cancelling plans because my nerves won't cooperate. Reminding myself that feelings pass.
1508,adhd_like,"Hyperfocus yesterday, scattered confetti brain today."
737,irritability,Update: Snapped over something tiny—wish I could rewind. Setting tiny goals and tiny wins.
462,social_anxiety,Real talk: Cancelling plans because my nerves won't cooperate. Texting a friend to check in.
1228,guilt_shame,That nagging 'not good enough' voice showed up again. Trying to be patient with myself.
150,brain_fog,Words are playing hide-and-seek with my mouth. Texting a friend to check in.
794,irritability,Snapped over something tiny—wish I could rewind. Journaling and short walks help a bit.
1624,ptsd_like,Random sounds put me on edge more than I'd like to admit. Trying to be patient with myself.
1058,anhedonia,Real talk: Joy feels muted—like the volume's turned down. Journaling and short walks help a bit.
1478,irritability,Apologizing in advance for my short fuse—working on it. Trying to be patient with myself.
1211,appetite_sleep_change,Update: Body clock and hunger cues feel out of sync. Journaling and short walks help a bit.
1151,loneliness,Status check: Craving connection but not sure how to ask for it. Taking it one breath at a time.
1667,appetite_sleep_change,Either sleeping too much or not at all—no in-between. Reminding myself that feelings pass.
1541,anxiety,Feeling wired and tired at the same time—classic anxiety loop.
1894,anhedonia,Today in mental health: Things I used to love feel dim lately. Taking it one breath at a time.
1769,anxiety,Not gonna lie— Feeling wired and tired at the same time—classic anxiety loop.
1849,social_anxiety,Overanalyzing every message I send—did that sound weird? Setting tiny goals and tiny wins.
1817,guilt_shame,That nagging 'not good enough' voice showed up again. Trying to be patient with myself.
597,ocd_like_worry,Reminder to future me: Looping on the same worry even though I know it's irrational. Journaling and short walks help a bit.
1077,anhedonia,Hard to find the spark for stuff that once lit me up.
823,social_anxiety,Overanalyzing every message I send—did that sound weird? Taking it one breath at a time.
1613,brain_fog,Words are playing hide-and-seek with my mouth.
707,burnout,Not gonna lie— Work brain is fried; focus meter stuck at 10%.
1953,irritability,Not gonna lie— Apologizing in advance for my short fuse—working on it.
618,fatigue,Status check: Energy meter keeps dipping into red for no reason. Journaling and short walks help a bit.
1530,fatigue,Real talk: Energy meter keeps dipping into red for no reason. Stepping outside for a minute of fresh air.
1257,insomnia,Update: Alarm goes off right when I finally drift off. Brutal. Taking it one breath at a time.
933,anxiety,"If anyone else needs to hear this: Overthinking every little thing again. Brain, please chill."
879,stress,"Tension living in my shoulders rent-free. Hydration and a stretch break, here we go."
1654,low_mood,Status check: Feeling down today and can't shake the gray cloud.
1638,burnout,Everything feels like a chore—even things I usually enjoy.
781,anxiety,"Overthinking every little thing again. Brain, please chill. Taking it one breath at a time."
1710,self_esteem,Learning to talk to myself like I would a friend. Stepping outside for a minute of fresh air.
650,burnout,"Work brain is fried; focus meter stuck at 10%. Hydration and a stretch break, here we go."
74,brain_fog,Real talk: Words are playing hide-and-seek with my mouth. Texting a friend to check in.
1947,ptsd_like,Reminder to future me: Random sounds put me on edge more than I'd like to admit. Journaling and short walks help a bit.
18,somatic,Stomach in knots when stress shows up.
433,irritability,Patience meter is shorter than usual today.
1439,appetite_sleep_change,Appetite keeps swinging from 'meh' to 'everything' lately.
1742,anhedonia,Checking off hobbies like tasks instead of enjoying them. Reminding myself that feelings pass.
1488,social_anxiety,Small talk feels like a boss-level challenge sometimes. Journaling and short walks help a bit.
750,ptsd_like,Real talk: Random sounds put me on edge more than I'd like to admit.
630,insomnia,If anyone else needs to hear this: Third night in a row staring at the ceiling at 3AM. Reminding myself that feelings pass.
1519,somatic,Back tension says hello every time I sit down.
1235,self_esteem,Trying to believe 'good enough' can actually be good.
1319,ocd_like_worry,Status check: Wish my mind had a 'good enough' button. Texting a friend to check in.
1196,somatic,Not gonna lie— Neck and shoulders hosting a permanent knot convention.
977,ocd_like_worry,If anyone else needs to hear this: Looping on the same worry even though I know it's irrational. Journaling and short walks help a bit.
1737,ocd_like_worry,Today in mental health: Stuck on repeat—reassurance doesn't stick for long. Reminding myself that feelings pass.
109,appetite_sleep_change,Update: Body clock and hunger cues feel out of sync. Texting a friend to check in.
213,burnout,Running on fumes and to-do list keeps growing. Reminding myself that feelings pass.
59,anxiety,"My mind's racing with what-ifs and it's exhausting. Hydration and a stretch break, here we go."
8,ocd_like_worry,Status check: Wish my mind had a 'good enough' button. Texting a friend to check in.
1991,irritability,Note to self: Snapped over something tiny—wish I could rewind.
686,anxiety,Heart fluttering for no clear reason—wish I could hit pause. Setting tiny goals and tiny wins.
199,ptsd_like,Random sounds put me on edge more than I'd like to admit. Journaling and short walks help a bit.
339,panic_like,Not gonna lie— Mind went blank and body hit the gas—classic surge of nerves.
564,anhedonia,Reminder to future me: Hard to find the spark for stuff that once lit me up. Setting tiny goals and tiny wins.
1001,anhedonia,Update: Hard to find the spark for stuff that once lit me up. Stepping outside for a minute of fresh air.
288,insomnia,Update: Third night in a row staring at the ceiling at 3AM. Journaling and short walks help a bit.
712,ptsd_like,"If anyone else needs to hear this: Some days my body reacts before my brain understands why. Hydration and a stretch break, here we go."
606,brain_fog,Real talk: Memory lag is real—what was I doing again? Journaling and short walks help a bit.
1862,self_esteem,Reminder to future me: Learning to talk to myself like I would a friend. Stepping outside for a minute of fresh air.
1561,insomnia,Reminder to future me: Counted a thousand imaginary sheep and still wide awake. Texting a friend to check in.
888,appetite_sleep_change,Body clock and hunger cues feel out of sync. Stepping outside for a minute of fresh air.
1980,burnout,Update: Everything feels like a chore—even things I usually enjoy. Setting tiny goals and tiny wins.
1615,self_esteem,Trying to believe 'good enough' can actually be good. Journaling and short walks help a bit.
366,stress,Deadline season again and my jaw hasn't unclenched all day.
388,ocd_like_worry,Today in mental health: Double-checking things on autopilot again—brain seeking certainty. Stepping outside for a minute of fresh air.
1162,insomnia,Reminder to future me: Alarm goes off right when I finally drift off. Brutal. Journaling and short walks help a bit.
56,somatic,Stomach in knots when stress shows up. Taking it one breath at a time.
1316,stress,Note to self: So many tabs open in my head and none are loading. Stepping outside for a minute of fresh air.
258,loneliness,Real talk: Craving connection but not sure how to ask for it. Setting tiny goals and tiny wins.
161,ptsd_like,Some days my body reacts before my brain understands why. Trying to be patient with myself.
662,panic_like,Today in mental health: Mind went blank and body hit the gas—classic surge of nerves. Reminding myself that feelings pass.
1021,appetite_sleep_change,Trying to notice patterns without judging myself. Reminding myself that feelings pass.
1205,ocd_like_worry,Today in mental health: Looping on the same worry even though I know it's irrational. Trying to be patient with myself.
1584,adhd_like,Update: Sticky notes are my second brain and they’re full. Trying to be patient with myself.
1161,anxiety,Heart fluttering for no clear reason—wish I could hit pause. Taking it one breath at a time.
1282,ptsd_like,Random sounds put me on edge more than I'd like to admit. Journaling and short walks help a bit.
1946,ocd_like_worry,Double-checking things on autopilot again—brain seeking certainty. Taking it one breath at a time.
728,social_anxiety,Small talk feels like a boss-level challenge sometimes. Journaling and short walks help a bit.
1202,stress,Reminder to future me: So many tabs open in my head and none are loading.
113,somatic,Status check: Headache visiting again—wish it would leave a forwarding address. Taking it one breath at a time.
1851,ocd_like_worry,Stuck on repeat—reassurance doesn't stick for long. Taking it one breath at a time.
373,guilt_shame,Trying to remember progress > perfection. Journaling and short walks help a bit.
902,ptsd_like,If anyone else needs to hear this: Grounding exercises helping a bit when I get startled. Texting a friend to check in.
660,appetite_sleep_change,Not gonna lie— Trying to notice patterns without judging myself. Reminding myself that feelings pass.
246,somatic,Note to self: Stomach in knots when stress shows up. Taking it one breath at a time.
1142,anxiety,Today in mental health: Heart fluttering for no clear reason—wish I could hit pause. Taking it one breath at a time.
1359,fatigue,"Dragging myself through the afternoon slump again. Hydration and a stretch break, here we go."
292,adhd_like,Not gonna lie— Started five tasks and finished none—attention is on vacation. Setting tiny goals and tiny wins.
440,insomnia,Not gonna lie— Sleep and I are not on speaking terms lately. Journaling and short walks help a bit.
507,anhedonia,Status check: Things I used to love feel dim lately. Taking it one breath at a time.
1776,ptsd_like,Some days my body reacts before my brain understands why. Trying to be patient with myself.
711,ocd_like_worry,Stuck on repeat—reassurance doesn't stick for long. Stepping outside for a minute of fresh air.
34,irritability,Note to self: Everything feels a bit like nails on a chalkboard.
370,ptsd_like,Status check: Random sounds put me on edge more than I'd like to admit.
1884,insomnia,Sleep and I are not on speaking terms lately.
1484,anxiety,My mind's racing with what-ifs and it's exhausting. Setting tiny goals and tiny wins.
1986,fatigue,Energy meter keeps dipping into red for no reason. Setting tiny goals and tiny wins.
1005,brain_fog,Brain is buffering… please wait. Journaling and short walks help a bit.
