post_id,question,context,answer_text,answer_start,symptom_idx,status
s_993_557,Find evidence for worthlessness in this post,Even I can't understand but spent 2 and half months on bed and was barely able to hold on to my job. Those 2 and half months my parents supported me. I have aging parents and still they are taking care of me. I feel lot of guilt due to this.,I feel lot of guilt due to this.,209,6,1
s_1639_444,Find evidence for fatigue in this post,"Given prednisone for a suspected ear infection via telehealth visit. How long should I give it to work before calling my pcp? 33F, White, 155lbs, 54. Medications: Esomeprazole 40mg, Zoloft 50 mg. I take a probiotic supplement for IBS-C. Medical conditions: GERD, IBS-C. Relevant history: I have a tube already in my left ear . Its been in place for about 18 months, and was checked a few months back and still place and looking good. Also, my two kids have had some general crud this week: low-grade fevers, sneezing, and snotty noses. They werent seen at the doctor, but seem to be recovered now. I started feeling poorly Friday, just a headache and a little mucus in my nose. Saturday (yesterday,) I woke up with a swollen lymph node in front of my left ear (I think its called preauricular) that was ridiculously painful and my ear started to hurt slightly throughout the day. I called Doctor on Demand who prescribed me prednisone for the lymph node and told me to start Flonase. I slept 10 hours last night, which is a lot for me, and then took a 2 hour nap today. I dont have a fever, but feel slightly chilled and clammy like I am feverish. My ear feels slightly full, and the left side of my face is tender, in addition to the headache. I got really light headed randomly this afternoon as well. I have taken the 20mg prednisone last night and today, and have three more days of it to take. I feel really terrible, and fatigued. How long should I wait before being seen in person? The last time my ear got really good and infected, it was months before I was able to get it cleared up and hearing out of it again, so Im trying to avoid that. Thanks for any guidance you can give.","I feel really terrible, and fatigued.",1399,5,1
s_2338_920,Find evidence for depressed mood in this post,"[Rant] Grocery store parking lots I just need to get this off my chest because I can't stop crying. I almost hit a family today with my car, pregnant mother included. I was waiting to back out, letting cars pass me in my tiny Prius C, struggling to look around the big truck parked next to me. Finally a break in the cars passing, so I start to back out slowly. Then I see a woman to my right looking terrified, so I stop and look around me and I see a man yelling at me. I shrug, say ""I'm so sorry!"", look around me once more and keep backing up. More yelling as I see a 30 week pregnant woman rushing to walk out of the way as I start to back out again. Turns out she was in my huuuge blind spot (the corner of my car). I start crying, yell ""I'm so sorry"" and finally back out and drive away. Now I can't stop crying. I can't be for sure I didn't tap someone with my car because I didn't get out and ask like I should have. I'm trying to reassure myself that there wasn't frantic screaming as I was trying to pull away, just me getting the finger from the man and yelled at. I also didn't feel anything as I was backing out. Now I'm going to live in constant fear for the upcoming weeks that the police are going to show up at my door and haul me away. Fuck my car's blind spot, fuck my apparently not thorough checking all my mirrors and windows. At least for once I'm not trying to blame the family, though it did cross my mind for a second. **EDIT** Thank you all SO MUCH. I feel so much better. Went and got my hair cut and have completely calmed down. DH is even taking me out to dinner to help me feel better too. Thanks for your kind words and support :)",Now I can't stop crying.,795,0,1
s_156_366,Find evidence for suicidal thoughts in this post,"I cant go to college... I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions! I just hate living like this...I wish the world would just end so I can die and not hurt the people I leave behind.. I don't know what to do...","I 100% know that if I have to go to college alone without my family or any support Im gonna end up killing myself....Im barely keeping my self alive now, I can't imagine being all by myself and dealing with my thoughts and emotions!",24,8,1
s_329_224,Find evidence for worthlessness in this post,In retrospect I realize that I made a lot of mistakes. I should have waited longer for the effects to kick in. I should have also not taken theanine as that has the ability to increase inhibitory neurotransmitter levels as well as act directly to block overproduction of excitatory neurotransmitters. And as you said the anti depressants were causing problems. Just a few things to take note of before I decide to try it again,In retrospect I realize that I made a lot of mistakes.,0,6,1
s_329_224,Find evidence for depressed mood in this post,In retrospect I realize that I made a lot of mistakes. I should have waited longer for the effects to kick in. I should have also not taken theanine as that has the ability to increase inhibitory neurotransmitter levels as well as act directly to block overproduction of excitatory neurotransmitters. And as you said the anti depressants were causing problems. Just a few things to take note of before I decide to try it again,In retrospect I realize that I made a lot of mistakes.,0,0,1
s_2748_278,Find evidence for sleep issues in this post,"It took me two weeks for celexa, and I had to reduce my dose. I was so tired all the time and would sleep for 14+ hours a day and wake up feeling like I needed to go back to sleep. I still don't have the energy I wish I had. No motivation. But at least I'm not depressed anymore.",I was so tired all the time and would sleep for 14+ hours a day and wake up feeling like I needed to go back to sleep.,62,3,1
s_1404_1341,Find evidence for fatigue in this post,"I don't exercise because of my extreme fatigue. Recently I tried it, I went for a 5 minutes run, 5 minutes and only once, the rest of the day I was extremely tired and more tired than before the run, so I guess exercise is too much for my body.",I don't exercise because of my extreme fatigue.,0,5,1
s_2401_82,Find evidence for depressed mood in this post,I have no control I'm crying on the floor. I'm filled with anger. Can't even express my emotions to anyone. Why are people so cruel to me. I dont wanna live like this. I maybe overreacting. People don't even try to understand what I'm going through. I can't control myself rn. I'm fidgeting on the floor with agony. I feel like my heart is bleeding. Will i always suffer? Will this ever end? I'm going nuts. Worst part is i have to go out of my room like nothing is wrong with me. I hate this. I wanna be saved. I want this to end.,I'm crying on the floor.,18,0,1
s_2055_843,Find evidence for anhedonia in this post,"I was in a similar situation up until recently. Worked at least 50-60 hours every week for years. It was a double edged sword. On one hand I had fuck you money, helped me advance my standard of living, and purchase a home. On the other hand I gained a massive amount of weight, a drinking problem, and a unhealthy relationship with my SO. Lately a few things have changed, and my responsibility is shared with a whole other department so suddenly we don't even have volunteer OT. It's almost hard to adjust to the 40 hour week. I almost don't know what to do with myself, all my hobbies withered over the years. It's like I am getting out of jail. Luckily I set my life up to run on 40 hour per week, a lot of my coworkers will have a day of reckoning since they have BMW payments, and expensive mortgages to pay.","I almost don't know what to do with myself, all my hobbies withered over the years.",528,1,1
s_2748_389,Find evidence for fatigue in this post,"I just started on celexa last wednesday. Ive never been so tired for so long. I slept most of yesterday, went back to bed at 930 last night and slept until 10am this morning and im still exhausted. I cant get anything done feeling this tired. It's crippling. On the upside my depression is gone, but at the expense of my energy levels. I cant tell which is worse. They both suck.",I cant get anything done feeling this tired.,198,5,1
s_258_598,Find evidence for fatigue in this post,"Hey, this a very important question and Im glad you decided to post it. Headaches and unbearable fatigue are the first that seem the most prominent for me. And its a very sharp headache just on the sides of my head - I could take as many Advils, as I want but sometimes the ache starts to throb and it just compels me to put my head down . Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep. Next is breathing which always kinda scares me although doctors have said its linked to anxiety. I develop shortness of breath much quicker than I used too- its as if out of nowhere I have to take a huge breath because the air in my chest feels stuck . Then chest pains, muscle spasms, and speaking in a monotonous dragged out voice . I hope it gets better for you though; I really do.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",340,5,1
s_258_598,Find evidence for sleep issues in this post,"Hey, this a very important question and Im glad you decided to post it. Headaches and unbearable fatigue are the first that seem the most prominent for me. And its a very sharp headache just on the sides of my head - I could take as many Advils, as I want but sometimes the ache starts to throb and it just compels me to put my head down . Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep. Next is breathing which always kinda scares me although doctors have said its linked to anxiety. I develop shortness of breath much quicker than I used too- its as if out of nowhere I have to take a huge breath because the air in my chest feels stuck . Then chest pains, muscle spasms, and speaking in a monotonous dragged out voice . I hope it gets better for you though; I really do.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",340,3,1
s_258_598,Find evidence for fatigue in this post,"Hey, this a very important question and Im glad you decided to post it. Headaches and unbearable fatigue are the first that seem the most prominent for me. And its a very sharp headache just on the sides of my head - I could take as many Advils, as I want but sometimes the ache starts to throb and it just compels me to put my head down . Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep. Next is breathing which always kinda scares me although doctors have said its linked to anxiety. I develop shortness of breath much quicker than I used too- its as if out of nowhere I have to take a huge breath because the air in my chest feels stuck . Then chest pains, muscle spasms, and speaking in a monotonous dragged out voice . I hope it gets better for you though; I really do.","Then the fatigue , always always tired, body feels heavy - I have a few energy peaks but generally by 5pm, I just want to sleep or feel like Im waiting to sleep.",340,5,1
